"ENSEMBL","SYMBOL","GENENAME","ENTREZID","CHR"
"ENSMUSG00000069441","Dsg1a","desmoglein 1 alpha","13510","18"
"ENSMUSG00000044393","Dsg2","desmoglein 2","13511","18"
"ENSMUSG00000056632","Dsg3","desmoglein 3","13512","18"
"ENSMUSG00000019936","Epyc","epiphycan","13516","10"
"ENSMUSG00000026131","Dst","dystonin","13518","1"
"ENSMUSG00000034320","Slc26a2","solute carrier family 26 (sulfate transporter), member 2","13521","18"
"ENSMUSG00000014725","Adam28","a disintegrin and metallopeptidase domain 28","13522","14"
"ENSMUSG00000031552","Adam18","a disintegrin and metallopeptidase domain 18","13524","8"
"ENSMUSG00000048516","Adam26a","ADAM metallopeptidase domain 26A","13525","8"
"ENSMUSG00000046723","Adam24","ADAM metallopeptidase domain 24","13526","8"
"ENSMUSG00000024302","Dtna","dystrobrevin alpha","13527","18"
"ENSMUSG00000071454","Dtnb","dystrobrevin, beta","13528","12"
"ENSMUSG00000018259","Prl8a2","prolactin family 8, subfamily a, member 2","13529","13"
"ENSMUSG00000054568","Usp17la","ubiquitin specific peptidase 17-like A","13531","7"
"ENSMUSG00000058976","Usp17lc","ubiquitin specific peptidase 17-like C","13532","7"
"ENSMUSG00000027368","Dusp2","dual specificity phosphatase 2","13537","2"
"ENSMUSG00000029071","Dvl1","dishevelled segment polarity protein 1","13542","4"
"ENSMUSG00000020888","Dvl2","dishevelled segment polarity protein 2","13543","11"
"ENSMUSG00000003233","Dvl3","dishevelled segment polarity protein 3","13544","16"
"ENSMUSG00000022897","Dyrk1a","dual-specificity tyrosine phosphorylation regulated kinase 1a","13548","16"
"ENSMUSG00000002409","Dyrk1b","dual-specificity tyrosine phosphorylation regulated kinase 1b","13549","7"
"ENSMUSG00000027490","E2f1","E2F transcription factor 1","13555","2"
"ENSMUSG00000016477","E2f3","E2F transcription factor 3","13557","13"
"ENSMUSG00000027552","E2f5","E2F transcription factor 5","13559","3"
"ENSMUSG00000024137","E4f1","E4F transcription factor 1","13560","17"
"ENSMUSG00000072601","Ear1","eosinophil-associated, ribonuclease A family, member 1","13586","14"
"ENSMUSG00000072596","Ear2","eosinophil-associated, ribonuclease A family, member 2","13587","14"
"ENSMUSG00000027479","Mapre1","microtubule-associated protein, RP/EB family, member 1","13589","2"
"ENSMUSG00000038793","Lefty1","left right determination factor 1","13590","1"
"ENSMUSG00000057098","Ebf1","early B cell factor 1","13591","11"
"ENSMUSG00000022053","Ebf2","early B cell factor 2","13592","14"
"ENSMUSG00000010476","Ebf3","early B cell factor 3","13593","7"
"ENSMUSG00000031168","Ebp","EBP cholestenol delta-isomerase","13595","X"
"ENSMUSG00000026247","Ecel1","endothelin converting enzyme-like 1","13599","1"
"ENSMUSG00000028108","Ecm1","extracellular matrix protein 1","13601","3"
"ENSMUSG00000029309","Sparcl1","SPARC-like 1","13602","5"
"ENSMUSG00000026525","Opn3","opsin 3","13603","1"
"ENSMUSG00000027699","Ect2","ect2 oncogene","13605","3"
"ENSMUSG00000059327","Eda","ectodysplasin-A","13607","X"
"ENSMUSG00000003227","Edar","ectodysplasin-A receptor","13608","10"
"ENSMUSG00000045092","S1pr1","sphingosine-1-phosphate receptor 1","13609","3"
"ENSMUSG00000067586","S1pr3","sphingosine-1-phosphate receptor 3","13610","13"
"ENSMUSG00000044199","S1pr4","sphingosine-1-phosphate receptor 4","13611","10"
"ENSMUSG00000034488","Edil3","EGF-like repeats and discoidin I-like domains 3","13612","13"
"ENSMUSG00000021367","Edn1","endothelin 1","13614","13"
"ENSMUSG00000028635","Edn2","endothelin 2","13615","4"
"ENSMUSG00000027524","Edn3","endothelin 3","13616","2"
"ENSMUSG00000031616","Ednra","endothelin receptor type A","13617","8"
"ENSMUSG00000022122","Ednrb","endothelin receptor type B","13618","14"
"ENSMUSG00000040669","Phc1","polyhomeotic 1","13619","6"
"ENSMUSG00000030619","Eed","embryonic ectoderm development","13626","7"
"ENSMUSG00000037742","Eef1a1","eukaryotic translation elongation factor 1 alpha 1","13627","9"
"ENSMUSG00000016349","Eef1a2","eukaryotic translation elongation factor 1 alpha 2","13628","2"
"ENSMUSG00000034994","Eef2","eukaryotic translation elongation factor 2","13629","10"
"ENSMUSG00000035064","Eef2k","eukaryotic elongation factor-2 kinase","13631","7"
"ENSMUSG00000027954","Efna1","ephrin A1","13636","3"
"ENSMUSG00000003070","Efna2","ephrin A2","13637","10"
"ENSMUSG00000028039","Efna3","ephrin A3","13638","3"
"ENSMUSG00000028040","Efna4","ephrin A4","13639","3"
"ENSMUSG00000048915","Efna5","ephrin A5","13640","17"
"ENSMUSG00000031217","Efnb1","ephrin B1","13641","X"
"ENSMUSG00000001300","Efnb2","ephrin B2","13642","8"
"ENSMUSG00000003934","Efnb3","ephrin B3","13643","11"
"ENSMUSG00000022203","Efs","embryonal Fyn-associated substrate","13644","14"
"ENSMUSG00000028017","Egf","epidermal growth factor","13645","3"
"ENSMUSG00000060177","Klk1b22","kallikrein 1-related peptidase b22","13646","7"
"ENSMUSG00000059042","Klk1b9","kallikrein 1-related peptidase b9","13648","7"
"ENSMUSG00000020122","Egfr","epidermal growth factor receptor","13649","11"
"ENSMUSG00000020282","Rhbdf1","rhomboid 5 homolog 1","13650","11"
"ENSMUSG00000038418","Egr1","early growth response 1","13653","18"
"ENSMUSG00000037868","Egr2","early growth response 2","13654","10"
"ENSMUSG00000033730","Egr3","early growth response 3","13655","14"
"ENSMUSG00000071341","Egr4","early growth response 4","13656","6"
"ENSMUSG00000024772","Ehd1","EH-domain containing 1","13660","19"
"ENSMUSG00000012350","Ehf","ets homologous factor","13661","2"
"ENSMUSG00000062762","Ei24","etoposide induced 2.4 mRNA","13663","9"
"ENSMUSG00000057561","Eif1a","eukaryotic translation initiation factor 1A","13664","18"
"ENSMUSG00000021116","Eif2s1","eukaryotic translation initiation factor 2, subunit 1 alpha","13665","12"
"ENSMUSG00000031668","Eif2ak3","eukaryotic translation initiation factor 2 alpha kinase 3","13666","6"
"ENSMUSG00000029145","Eif2b4","eukaryotic translation initiation factor 2B, subunit 4 delta","13667","5"
"ENSMUSG00000024991","Eif3a","eukaryotic translation initiation factor 3, subunit A","13669","19"
"ENSMUSG00000015023","Ddx19a","DEAD box helicase 19a","13680","8"
"ENSMUSG00000059796","Eif4a1","eukaryotic translation initiation factor 4A1","13681","11"
"ENSMUSG00000022884","Eif4a2","eukaryotic translation initiation factor 4A2","13682","16"
"ENSMUSG00000028156","Eif4e","eukaryotic translation initiation factor 4E","13684","3"
"ENSMUSG00000031490","Eif4ebp1","eukaryotic translation initiation factor 4E binding protein 1","13685","8"
"ENSMUSG00000020091","Eif4ebp2","eukaryotic translation initiation factor 4E binding protein 2","13688","10"
"ENSMUSG00000005610","Eif4g2","eukaryotic translation initiation factor 4, gamma 2","13690","7"
"ENSMUSG00000058579","Cela2a","chymotrypsin-like elastase family, member 2A","13706","4"
"ENSMUSG00000036461","Elf1","E74 like ETS transcription factor 1","13709","14"
"ENSMUSG00000003051","Elf3","E74-like factor 3","13710","1"
"ENSMUSG00000027186","Elf5","E74-like factor 5","13711","2"
"ENSMUSG00000009406","Elk1","ELK1, member of ETS oncogene family","13712","X"
"ENSMUSG00000008398","Elk3","ELK3, member of ETS oncogene family","13713","10"
"ENSMUSG00000026436","Elk4","ELK4, member of ETS oncogene family","13714","1"
"ENSMUSG00000070002","Ell","elongation factor RNA polymerase II","13716","8"
"ENSMUSG00000029675","Eln","elastin","13717","5"
"ENSMUSG00000028029","Aimp1","aminoacyl tRNA synthetase complex-interacting multifunctional protein 1","13722","3"
"ENSMUSG00000021728","Emb","embigin","13723","13"
"ENSMUSG00000001964","Emd","emerin","13726","X"
"ENSMUSG00000024969","Mark2","MAP/microtubule affinity regulating kinase 2","13728","19"
"ENSMUSG00000030208","Emp1","epithelial membrane protein 1","13730","6"
"ENSMUSG00000022505","Emp2","epithelial membrane protein 2","13731","16"
"ENSMUSG00000040212","Emp3","epithelial membrane protein 3","13732","7"
"ENSMUSG00000004730","Adgre1","adhesion G protein-coupled receptor E1","13733","17"
"ENSMUSG00000033726","Emx1","empty spiracles homeobox 1","13796","6"
"ENSMUSG00000043969","Emx2","empty spiracles homeobox 2","13797","19"
"ENSMUSG00000058665","En1","engrailed 1","13798","1"
"ENSMUSG00000039095","En2","engrailed 2","13799","5"
"ENSMUSG00000022995","Enah","ENAH actin regulator","13800","1"
"ENSMUSG00000029286","Enam","enamelin","13801","5"
"ENSMUSG00000041773","Enc1","ectodermal-neural cortex 1","13803","13"
"ENSMUSG00000015337","Endog","endonuclease G","13804","2"
"ENSMUSG00000026814","Eng","endoglin","13805","2"
"ENSMUSG00000063524","Eno1","enolase 1, alpha non-neuron","13806","4"
"ENSMUSG00000004267","Eno2","enolase 2, gamma neuronal","13807","6"
"ENSMUSG00000060600","Eno3","enolase 3, beta muscle","13808","11"
"ENSMUSG00000028024","Enpep","glutamyl aminopeptidase","13809","3"
"ENSMUSG00000032446","Eomes","eomesodermin","13813","9"
"ENSMUSG00000024140","Epas1","endothelial PAS domain protein 1","13819","17"
"ENSMUSG00000027624","Epb41l1","erythrocyte membrane protein band 4.1 like 1","13821","2"
"ENSMUSG00000019978","Epb41l2","erythrocyte membrane protein band 4.1 like 2","13822","10"
"ENSMUSG00000024044","Epb41l3","erythrocyte membrane protein band 4.1 like 3","13823","17"
"ENSMUSG00000024376","Epb41l4a","erythrocyte membrane protein band 4.1 like 4a","13824","18"
"ENSMUSG00000023216","Epb42","erythrocyte membrane protein band 4.2","13828","2"
"ENSMUSG00000022099","Dmtn","dematin actin binding protein","13829","14"
"ENSMUSG00000026880","Stom","stomatin","13830","2"
"ENSMUSG00000024240","Epc1","enhancer of polycomb homolog 1","13831","18"
"ENSMUSG00000029859","Epha1","Eph receptor A1","13835","6"
"ENSMUSG00000006445","Epha2","Eph receptor A2","13836","4"
"ENSMUSG00000052504","Epha3","Eph receptor A3","13837","16"
"ENSMUSG00000026235","Epha4","Eph receptor A4","13838","1"
"ENSMUSG00000029245","Epha5","Eph receptor A5","13839","5"
"ENSMUSG00000055540","Epha6","Eph receptor A6","13840","16"
"ENSMUSG00000028289","Epha7","Eph receptor A7","13841","4"
"ENSMUSG00000028661","Epha8","Eph receptor A8","13842","4"
"ENSMUSG00000028664","Ephb2","Eph receptor B2","13844","4"
"ENSMUSG00000005958","Ephb3","Eph receptor B3","13845","16"
"ENSMUSG00000029710","Ephb4","Eph receptor B4","13846","5"
"ENSMUSG00000029869","Ephb6","Eph receptor B6","13848","6"
"ENSMUSG00000038776","Ephx1","epoxide hydrolase 1, microsomal","13849","1"
"ENSMUSG00000022040","Ephx2","epoxide hydrolase 2, cytoplasmic","13850","14"
"ENSMUSG00000029428","Stx2","syntaxin 2","13852","5"
"ENSMUSG00000055493","Epm2a","epilepsy, progressive myoclonic epilepsy, type 2 gene alpha","13853","10"
"ENSMUSG00000035203","Epn1","epsin 1","13854","7"
"ENSMUSG00000001036","Epn2","epsin 2","13855","11"
"ENSMUSG00000029711","Epo","erythropoietin","13856","5"
"ENSMUSG00000006235","Epor","erythropoietin receptor","13857","9"
"ENSMUSG00000028552","Eps15","epidermal growth factor receptor pathway substrate 15","13858","4"
"ENSMUSG00000006276","Eps15l1","epidermal growth factor receptor pathway substrate 15-like 1","13859","8"
"ENSMUSG00000015766","Eps8","epidermal growth factor receptor pathway substrate 8","13860","6"
"ENSMUSG00000052234","Epx","eosinophil peroxidase","13861","11"
"ENSMUSG00000026937","Lcn5","lipocalin 5","13863","2"
"ENSMUSG00000002393","Nr2f6","nuclear receptor subfamily 2, group F, member 6","13864","8"
"ENSMUSG00000069171","Nr2f1","nuclear receptor subfamily 2, group F, member 1","13865","13"
"ENSMUSG00000062312","Erbb2","erb-b2 receptor tyrosine kinase 2","13866","11"
"ENSMUSG00000018166","Erbb3","erb-b2 receptor tyrosine kinase 3","13867","10"
"ENSMUSG00000062209","Erbb4","erb-b2 receptor tyrosine kinase 4","13869","1"
"ENSMUSG00000003549","Ercc1","excision repair cross-complementing rodent repair deficiency, complementation group 1","13870","7"
"ENSMUSG00000030400","Ercc2","excision repair cross-complementing rodent repair deficiency, complementation group 2","13871","7"
"ENSMUSG00000024382","Ercc3","excision repair cross-complementing rodent repair deficiency, complementation group 3","13872","18"
"ENSMUSG00000029377","Ereg","epiregulin","13874","5"
"ENSMUSG00000040857","Erf","Ets2 repressor factor","13875","7"
"ENSMUSG00000040732","Erg","ETS transcription factor","13876","16"
"ENSMUSG00000021131","Erh","ERH mRNA splicing and mitosis factor","13877","12"
"ENSMUSG00000057400","Ces1c","carboxylesterase 1C","13884","8"
"ENSMUSG00000021996","Esd","esterase D/formylglutathione hydrolase","13885","14"
"ENSMUSG00000061959","Ces1e","carboxylesterase 1E","13897","8"
"ENSMUSG00000062181","Ces3b","carboxylesterase 3B","13909","8"
"ENSMUSG00000097993","Ptprv","protein tyrosine phosphatase receptor type V","13924","1"
"ENSMUSG00000020610","Amz2","archaelysin family metallopeptidase 2","13929","11"
"ENSMUSG00000000884","Gnb1l","guanine nucleotide binding protein (G protein), beta polypeptide 1-like","13972","16"
"ENSMUSG00000019768","Esr1","estrogen receptor 1 (alpha)","13982","10"
"ENSMUSG00000021055","Esr2","estrogen receptor 2 (beta)","13983","12"
"ENSMUSG00000023443","Esx1","extraembryonic, spermatogenesis, homeobox 1","13984","X"
"ENSMUSG00000029920","Smarcad1","SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1","13990","6"
"ENSMUSG00000022332","Khdrbs3","KH domain containing, RNA binding, signal transduction associated 3","13992","15"
"ENSMUSG00000020021","Fgd6","FYVE, RhoGEF and PH domain containing 6","13998","10"
"ENSMUSG00000078889","Gm14288","predicted gene 14288","13999","2"
"ENSMUSG00000022191","Drosha","drosha, ribonuclease type III","14000","15"
"ENSMUSG00000070493","Chchd2","coiled-coil-helix-coiled-coil-helix domain containing 2","14004","5"
"ENSMUSG00000002107","Celf2","CUGBP, Elav-like family member 2","14007","2"
"ENSMUSG00000006311","Etv2","ets variant 2","14008","7"
"ENSMUSG00000004151","Etv1","ets variant 1","14009","12"
"ENSMUSG00000030199","Etv6","ets variant 6","14011","6"
"ENSMUSG00000032092","Mpzl2","myelin protein zero-like 2","14012","9"
"ENSMUSG00000027684","Mecom","MDS1 and EVI1 complex locus","14013","3"
"ENSMUSG00000078771","Evi2a","ecotropic viral integration site 2a","14017","11"
"ENSMUSG00000011831","Evi5","ecotropic viral integration site 5","14020","5"
"ENSMUSG00000000861","Bcl11a","BCL11 transcription factor A","14025","11"
"ENSMUSG00000021262","Evl","Ena-vasodilator stimulated phosphoprotein","14026","12"
"ENSMUSG00000034282","Evpl","envoplakin","14027","11"
"ENSMUSG00000005503","Evx1","even-skipped homeobox 1","14028","6"
"ENSMUSG00000001815","Evx2","even-skipped homeobox 2","14029","2"
"ENSMUSG00000009079","Ewsr1","Ewing sarcoma breakpoint region 1","14030","11"
"ENSMUSG00000000983","Wfdc18","WAP four-disulfide core domain 18","14038","11"
"ENSMUSG00000061731","Ext1","exostosin glycosyltransferase 1","14042","15"
"ENSMUSG00000027198","Ext2","exostosin glycosyltransferase 2","14043","2"
"ENSMUSG00000025932","Eya1","EYA transcriptional coactivator and phosphatase 1","14048","1"
"ENSMUSG00000017897","Eya2","EYA transcriptional coactivator and phosphatase 2","14049","2"
"ENSMUSG00000028886","Eya3","EYA transcriptional coactivator and phosphatase 3","14050","4"
"ENSMUSG00000010461","Eya4","EYA transcriptional coactivator and phosphatase 4","14051","10"
"ENSMUSG00000006920","Ezh1","enhancer of zeste 1 polycomb repressive complex 2 subunit","14055","11"
"ENSMUSG00000029687","Ezh2","enhancer of zeste 2 polycomb repressive complex 2 subunit","14056","6"
"ENSMUSG00000021474","Sfxn1","sideroflexin 1","14057","13"
"ENSMUSG00000031444","F10","coagulation factor X","14058","8"
"ENSMUSG00000026368","F13b","coagulation factor XIII, beta subunit","14060","1"
"ENSMUSG00000027249","F2","coagulation factor II","14061","2"
"ENSMUSG00000048376","F2r","coagulation factor II thrombin receptor","14062","13"
"ENSMUSG00000021678","F2rl1","F2R like trypsin receptor 1","14063","13"
"ENSMUSG00000021675","F2rl2","coagulation factor II thrombin receptor like 2","14064","13"
"ENSMUSG00000050147","F2rl3","F2R like thrombin or trypsin receptor 3","14065","8"
"ENSMUSG00000028128","F3","coagulation factor III","14066","3"
"ENSMUSG00000026579","F5","coagulation factor V","14067","1"
"ENSMUSG00000031443","F7","coagulation factor VII","14068","8"
"ENSMUSG00000031196","F8","coagulation factor VIII","14069","X"
"ENSMUSG00000078317","F8a","factor 8-associated gene A","14070","X"
"ENSMUSG00000031138","F9","coagulation factor IX","14071","X"
"ENSMUSG00000034171","Faah","fatty acid amide hydrolase","14073","4"
"ENSMUSG00000028773","Fabp3","fatty acid binding protein 3, muscle and heart","14077","4"
"ENSMUSG00000023057","Fabp2","fatty acid binding protein 2, intestinal","14079","3"
"ENSMUSG00000054422","Fabp1","fatty acid binding protein 1, liver","14080","6"
"ENSMUSG00000018796","Acsl1","acyl-CoA synthetase long-chain family member 1","14081","8"
"ENSMUSG00000031077","Fadd","Fas associated via death domain","14082","7"
"ENSMUSG00000022607","Ptk2","PTK2 protein tyrosine kinase 2","14083","15"
"ENSMUSG00000010517","Faf1","Fas-associated factor 1","14084","4"
"ENSMUSG00000030630","Fah","fumarylacetoacetate hydrolase","14085","7"
"ENSMUSG00000029581","Fscn1","fascin actin-bundling protein 1","14086","5"
"ENSMUSG00000032815","Fanca","Fanconi anemia, complementation group A","14087","8"
"ENSMUSG00000021461","Fancc","Fanconi anemia, complementation group C","14088","13"
"ENSMUSG00000000392","Fap","fibroblast activation protein","14089","2"
"ENSMUSG00000024778","Fas","Fas cell surface death receptor","14102","19"
"ENSMUSG00000000817","Fasl","Fas ligand","14103","1"
"ENSMUSG00000025153","Fasn","fatty acid synthase","14104","11"
"ENSMUSG00000028676","Srsf10","serine and arginine-rich splicing factor 10","14105","4"
"ENSMUSG00000033837","Foxh1","forkhead box H1","14106","15"
"ENSMUSG00000070047","Fat1","FAT atypical cadherin 1","14107","8"
"ENSMUSG00000038274","Fau","FAU ubiquitin like and ribosomal protein S30 fusion","14109","19"
"ENSMUSG00000046865","Fbl","fibrillarin","14113","7"
"ENSMUSG00000006369","Fbln1","fibulin 1","14114","15"
"ENSMUSG00000064080","Fbln2","fibulin 2","14115","6"
"ENSMUSG00000027204","Fbn1","fibrillin 1","14118","2"
"ENSMUSG00000024598","Fbn2","fibrillin 2","14119","18"
"ENSMUSG00000021456","Fbp2","fructose bisphosphatase 2","14120","13"
"ENSMUSG00000069805","Fbp1","fructose bisphosphatase 1","14121","13"
"ENSMUSG00000042423","Fbrs","fibrosin","14123","7"
"ENSMUSG00000005339","Fcer1a","Fc receptor, IgE, high affinity I, alpha polypeptide","14125","1"
"ENSMUSG00000024680","Ms4a2","membrane-spanning 4-domains, subfamily A, member 2","14126","19"
"ENSMUSG00000058715","Fcer1g","Fc receptor, IgE, high affinity I, gamma polypeptide","14127","1"
"ENSMUSG00000005540","Fcer2a","Fc receptor, IgE, low affinity II, alpha polypeptide","14128","8"
"ENSMUSG00000015947","Fcgr1","Fc receptor, IgG, high affinity I","14129","3"
"ENSMUSG00000026656","Fcgr2b","Fc receptor, IgG, low affinity IIb","14130","1"
"ENSMUSG00000059498","Fcgr3","Fc receptor, IgG, low affinity III","14131","1"
"ENSMUSG00000003420","Fcgrt","Fc fragment of IgG receptor and transporter","14132","7"
"ENSMUSG00000026938","Fcna","ficolin A","14133","2"
"ENSMUSG00000026835","Fcnb","ficolin B","14134","2"
"ENSMUSG00000021273","Fdft1","farnesyl diphosphate farnesyl transferase 1","14137","14"
"ENSMUSG00000032051","Fdx1","ferredoxin 1","14148","9"
"ENSMUSG00000018861","Fdxr","ferredoxin reductase","14149","11"
"ENSMUSG00000024588","Fech","ferrochelatase","14151","18"
"ENSMUSG00000043683","Fem1a","fem 1 homolog a","14154","17"
"ENSMUSG00000032244","Fem1b","fem 1 homolog b","14155","9"
"ENSMUSG00000024742","Fen1","flap structure specific endonuclease 1","14156","19"
"ENSMUSG00000000127","Fer","FER tyrosine kinase","14158","17"
"ENSMUSG00000053158","Fes","feline sarcoma oncogene","14159","7"
"ENSMUSG00000020140","Lgr5","leucine rich repeat containing G protein coupled receptor 5","14160","10"
"ENSMUSG00000028001","Fga","fibrinogen alpha chain","14161","3"
"ENSMUSG00000025265","Fgd1","FYVE, RhoGEF and PH domain containing 1","14163","X"
"ENSMUSG00000036585","Fgf1","fibroblast growth factor 1","14164","18"
"ENSMUSG00000021732","Fgf10","fibroblast growth factor 10","14165","13"
"ENSMUSG00000042826","Fgf11","fibroblast growth factor 11","14166","11"
"ENSMUSG00000022523","Fgf12","fibroblast growth factor 12","14167","16"
"ENSMUSG00000031137","Fgf13","fibroblast growth factor 13","14168","X"
"ENSMUSG00000025551","Fgf14","fibroblast growth factor 14","14169","14"
"ENSMUSG00000031073","Fgf15","fibroblast growth factor 15","14170","7"
"ENSMUSG00000022101","Fgf17","fibroblast growth factor 17","14171","14"
"ENSMUSG00000057967","Fgf18","fibroblast growth factor 18","14172","11"
"ENSMUSG00000037225","Fgf2","fibroblast growth factor 2","14173","3"
"ENSMUSG00000031074","Fgf3","fibroblast growth factor 3","14174","7"
"ENSMUSG00000050917","Fgf4","fibroblast growth factor 4","14175","7"
"ENSMUSG00000029337","Fgf5","fibroblast growth factor 5","14176","5"
"ENSMUSG00000000183","Fgf6","fibroblast growth factor 6","14177","6"
"ENSMUSG00000027208","Fgf7","fibroblast growth factor 7","14178","2"
"ENSMUSG00000025219","Fgf8","fibroblast growth factor 8","14179","19"
"ENSMUSG00000021974","Fgf9","fibroblast growth factor 9","14180","14"
"ENSMUSG00000048373","Fgfbp1","fibroblast growth factor binding protein 1","14181","5"
"ENSMUSG00000031565","Fgfr1","fibroblast growth factor receptor 1","14182","8"
"ENSMUSG00000030849","Fgfr2","fibroblast growth factor receptor 2","14183","7"
"ENSMUSG00000054252","Fgfr3","fibroblast growth factor receptor 3","14184","5"
"ENSMUSG00000005320","Fgfr4","fibroblast growth factor receptor 4","14186","13"
"ENSMUSG00000029762","Akr1b8","aldo-keto reductase family 1, member B8","14187","6"
"ENSMUSG00000039899","Fgl2","fibrinogen-like protein 2","14190","5"
"ENSMUSG00000028874","Fgr","FGR proto-oncogene, Src family tyrosine kinase","14191","4"
"ENSMUSG00000026526","Fh1","fumarate hydratase 1","14194","1"
"ENSMUSG00000060579","Fhit","fragile histidine triad gene","14198","14"
"ENSMUSG00000023092","Fhl1","four and a half LIM domains 1","14199","X"
"ENSMUSG00000008136","Fhl2","four and a half LIM domains 2","14200","1"
"ENSMUSG00000032643","Fhl3","four and a half LIM domains 3","14201","4"
"ENSMUSG00000050035","Fhl4","four and a half LIM domains 4","14202","10"
"ENSMUSG00000074141","Il4i1","interleukin 4 induced 1","14204","7"
"ENSMUSG00000031380","Vegfd","vascular endothelial growth factor D","14205","X"
"ENSMUSG00000029147","Ppm1g","protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform","14208","5"
"ENSMUSG00000028312","Smc2","structural maintenance of chromosomes 2","14211","4"
"ENSMUSG00000053617","Sh3pxd2a","SH3 and PX domains 2A","14218","19"
"ENSMUSG00000019997","Ccn2","cellular communication network factor 2","14219","10"
"ENSMUSG00000075012","Fjx1","four jointed box 1","14221","2"
"ENSMUSG00000032966","Fkbp1a","FK506 binding protein 1a","14225","2"
"ENSMUSG00000020635","Fkbp1b","FK506 binding protein 1b","14226","12"
"ENSMUSG00000056629","Fkbp2","FK506 binding protein 2","14227","19"
"ENSMUSG00000030357","Fkbp4","FK506 binding protein 4","14228","6"
"ENSMUSG00000024222","Fkbp5","FK506 binding protein 5","14229","17"
"ENSMUSG00000001555","Fkbp10","FK506 binding protein 10","14230","11"
"ENSMUSG00000002732","Fkbp7","FK506 binding protein 7","14231","2"
"ENSMUSG00000019428","Fkbp8","FK506 binding protein 8","14232","8"
"ENSMUSG00000047861","Foxi1","forkhead box I1","14233","11"
"ENSMUSG00000046714","Foxc2","forkhead box C2","14234","8"
"ENSMUSG00000001517","Foxm1","forkhead box M1","14235","6"
"ENSMUSG00000034998","Foxn2","forkhead box N2","14236","17"
"ENSMUSG00000051490","Foxd4","forkhead box D4","14237","19"
"ENSMUSG00000038402","Foxf2","forkhead box F2","14238","13"
"ENSMUSG00000074676","Foxs1","forkhead box S1","14239","2"
"ENSMUSG00000056829","Foxb2","forkhead box B2","14240","19"
"ENSMUSG00000097084","Foxl1","forkhead box L1","14241","8"
"ENSMUSG00000020593","Lpin1","lipin 1","14245","12"
"ENSMUSG00000102439","Flg","filaggrin","14246","3"
"ENSMUSG00000016087","Fli1","Friend leukemia integration 1","14247","9"
"ENSMUSG00000002812","Flii","flightless I actin binding protein","14248","11"
"ENSMUSG00000059714","Flot1","flotillin 1","14251","17"
"ENSMUSG00000061981","Flot2","flotillin 2","14252","11"
"ENSMUSG00000029648","Flt1","FMS-like tyrosine kinase 1","14254","5"
"ENSMUSG00000042817","Flt3","FMS-like tyrosine kinase 3","14255","5"
"ENSMUSG00000110206","Flt3l","FMS-like tyrosine kinase 3 ligand","14256","7"
"ENSMUSG00000020357","Flt4","FMS-like tyrosine kinase 4","14257","11"
"ENSMUSG00000044042","Fmn1","formin 1","14260","2"
"ENSMUSG00000040181","Fmo1","flavin containing monooxygenase 1","14261","1"
"ENSMUSG00000026691","Fmo3","flavin containing monooxygenase 3","14262","1"
"ENSMUSG00000028088","Fmo5","flavin containing monooxygenase 5","14263","3"
"ENSMUSG00000041559","Fmod","fibromodulin","14264","1"
"ENSMUSG00000000838","Fmr1","fragile X messenger ribonucleoprotein 1","14265","X"
"ENSMUSG00000031189","Aff2","AF4/FMR2 family, member 2","14266","X"
"ENSMUSG00000026193","Fn1","fibronectin 1","14268","1"
"ENSMUSG00000075415","Fnbp1","formin binding protein 1","14269","2"
"ENSMUSG00000026425","Srgap2","SLIT-ROBO Rho GTPase activating protein 2","14270","1"
"ENSMUSG00000015994","Fnta","farnesyltransferase, CAAX box, alpha","14272","8"
"ENSMUSG00000001827","Folr1","folate receptor alpha","14275","7"
"ENSMUSG00000032725","Folr2","folate receptor beta","14276","7"
"ENSMUSG00000021250","Fos","FBJ osteosarcoma oncogene","14281","12"
"ENSMUSG00000003545","Fosb","FBJ osteosarcoma oncogene B","14282","7"
"ENSMUSG00000024912","Fosl1","fos-like antigen 1","14283","19"
"ENSMUSG00000029135","Fosl2","fos-like antigen 2","14284","5"
"ENSMUSG00000009566","Fpgs","folylpolyglutamyl synthetase","14287","2"
"ENSMUSG00000052270","Fpr2","formyl peptide receptor 2","14289","17"
"ENSMUSG00000060701","Fpr-rs3","formyl peptide receptor, related sequence 3","14290","17"
"ENSMUSG00000048062","Fpr-rs4","formyl peptide receptor, related sequence 4","14291","17"
"ENSMUSG00000045551","Fpr1","formyl peptide receptor 1","14293","17"
"ENSMUSG00000079700","Fpr3","formyl peptide receptor 3","14294","17"
"ENSMUSG00000067199","Frat1","frequently rearranged in advanced T cell lymphomas","14296","19"
"ENSMUSG00000059363","Fxn","frataxin","14297","19"
"ENSMUSG00000062661","Ncs1","neuronal calcium sensor 1","14299","2"
"ENSMUSG00000031590","Frg1","FSHD region gene 1","14300","8"
"ENSMUSG00000019779","Frk","fyn-related kinase","14302","10"
"ENSMUSG00000027120","Fshb","follicle stimulating hormone beta","14308","2"
"ENSMUSG00000032937","Fshr","follicle stimulating hormone receptor","14309","17"
"ENSMUSG00000030278","Cidec","cell death-inducing DFFA-like effector c","14311","6"
"ENSMUSG00000024335","Brd2","bromodomain containing 2","14312","17"
